danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_
0.762,0.74,-4.72,0.226,0.201,0.0,0.275,0.961,167.88099999999997,195493.0,1
0.85,0.473,-5.747000000000001,0.209,0.1169999999999999,0.0105,0.108,0.38,85.454,-1.0,1
0.809,0.56,-7.114,0.49,0.0366,0.0,0.267,0.418,146.94,196255.0,0
0.71,0.674,-7.997000000000001,0.0412,0.0323,0.625,0.349,0.585,152.037,344774.0,0
0.1969999999999999,0.0312,-27.182,0.0394,0.981,0.365,0.0934,0.136,104.927,78000.0,0
69.0,76.0,-4.0,4.0,8.0,,14.0,59.0,100.0,223.0,1
83.0,61.0,-4.0,7.0,9.0,,29.0,71.0,110.0,293.0,1
0.856,0.6509999999999999,-5.752000000000001,0.0465,0.106,3.55e-05,0.0504,0.852,113.008,291800.0,0
0.727,0.774,-5.246,0.0588,0.379,2.47e-06,0.114,0.211,99.932,212467.0,1
0.275,0.809,-12.913,0.0661,0.0989,0.8740000000000001,0.34,0.418,127.865,274467.0,0
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,1
0.782,0.325,-13.414,0.251,0.556,0.0,0.16,0.604,139.923,264000.0,0
0.627,0.8,-6.945,0.162,0.21,0.000123,0.1369999999999999,0.912,175.815,217573.0,1
0.725,0.674,-5.254,0.0363,0.0325,3.55e-06,0.0531,0.773,120.057,213693.0,1
0.469,0.991,-1.275,0.0475,0.00162,1.43e-06,0.0826,0.46,139.765,167973.0,0
0.7859999999999999,0.82,-5.093,0.2319999999999999,0.222,0.0,0.575,0.49,119.98200000000001,220996.0,1
0.8270000000000001,0.725,-9.866,0.0999,0.078,0.0,0.182,0.12,129.984,235147.0,0
0.293,0.142,-17.665,0.0334,0.987,0.903,0.0802,0.0708,98.58,1018613.0,0
39.0,59.0,-6.0,6.0,3.0,,9.0,19.0,114.0,272.0,1
0.3339999999999999,0.238,-20.857,0.0271,0.936,0.898,0.213,0.39,88.109,-1.0,0
0.71,0.8140000000000001,-4.575,0.0561,0.162,0.0,0.16,0.7140000000000001,155.02,230440.0,1
0.6459999999999999,0.64,-6.522,0.0424,0.0348,0.0,0.108,0.882,134.03,-1.0,1
0.5660000000000001,0.7829999999999999,-9.412,0.0363,0.0157,0.003,0.0806,0.5870000000000001,100.86399999999999,277477.0,1
80.0,87.0,-4.0,7.0,19.0,,9.0,85.0,112.0,193.0,1
0.618,0.879,-4.964,0.0321,0.00281,1.8e-05,0.36,0.597,154.921,132719.0,0
0.8420000000000001,0.605,-6.292999999999999,0.0559,0.358,0.0,0.0843,0.591,130.02700000000002,207223.0,1
0.7440000000000001,0.86,-7.026,0.0498,0.00104,0.687,0.315,0.4579999999999999,129.91,360000.0,0
0.3279999999999999,0.3389999999999999,-13.125,0.0563,0.176,2.0600000000000003e-05,0.163,0.2189999999999999,174.354,-1.0,0
0.6940000000000001,0.895,-3.258,0.335,0.2689999999999999,4.17e-06,0.4,0.779,167.97400000000002,298600.0,0
78.0,61.0,-5.0,5.0,11.0,,13.0,80.0,100.0,209.0,1
0.108,0.0623,-22.886,0.0482,0.97,0.349,0.138,0.0546,65.429,257093.0,0
0.89,0.607,-6.916,0.124,0.158,0.0002279999999999,0.118,0.2239999999999999,134.02200000000002,233040.0,1
0.851,0.541,-6.825,0.0505,0.568,0.0,0.13,0.448,124.959,235545.0,1
0.216,0.914,-6.54,0.0644,2e-05,4.81e-05,0.104,0.379,153.126,245267.0,0
0.348,0.39,-16.698,0.129,0.937,4.83e-06,0.8859999999999999,0.29,69.71,227693.0,0
0.66,0.6659999999999999,-4.342,0.0472,0.0759,0.0,0.0268,0.933,89.975,214227.0,1
50.0,52.0,-6.0,4.0,11.0,,45.0,17.0,134.0,196.0,1
0.7070000000000001,0.562,-7.621,0.0305,0.124,1.58e-05,0.561,0.418,98.094,252026.0,1
0.611,0.583,-10.428,0.0408,0.611,0.0853,0.0688,0.53,129.43200000000002,350267.0,1
0.8959999999999999,0.515,-5.395,0.183,0.0338,0.0,0.317,0.174,138.016,303077.0,1
0.495,0.743,-4.021,0.0341,0.000748,0.3929999999999999,0.322,0.151,140.047,-1.0,0
